Factor,Symbol,Levels,Operational interpretation
Problem size,n,"[15, 50]",Number of customers
Eligible share,p_e,"[0.25, 0.75]",Share eligible for drone service
Endurance,E,"['medium', 'high']",Battery-capacity level
Speed ratio,v_D / v_T,"[1.25, 2.0]",Drone speed relative to truck
Handling time,tau,"['short', 'medium']",Launch/retrieval burden class
Spatial pattern,spatial,['uniform'],Customer spatial distribution
Drones available,|D|,"[1, 2]",Available drone fleet size
Battery-slack threshold,beta_slack,[0.1],Minimum residual battery ratio for admissible drone assignment
Priority-weight profile,"(pi_H, pi_M, pi_L)","['moderate', 'base']",Tardiness weights by priority class
Feasibility policy,-,feasible_only,How infeasible runs are handled in reported objectives
